"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\App.css", "CSS", 0, 10, 0, 2, 12
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\App.jsx", "JavaScript", 20, 0, 0, 7, 27
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\address.backend.js", "JavaScript", 50, 0, 0, 4, 54
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\admin.backend.js", "JavaScript", 30, 0, 0, 2, 32
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\buyProcess\cart.backend.js", "JavaScript", 54, 0, 0, 4, 58
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\buyProcess\order.backend.js", "JavaScript", 79, 0, 0, 6, 85
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\buyProcess\stripe.backend.js", "JavaScript", 67, 0, 1, 4, 72
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\producer\material.backend.js", "JavaScript", 20, 0, 0, 2, 22
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\producer\product.backend.js", "JavaScript", 202, 0, 0, 16, 218
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\producer\shop.backend.js", "JavaScript", 70, 0, 0, 6, 76
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\role.backend.js", "JavaScript", 10, 0, 0, 1, 11
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\backEnd\user.backend.js", "JavaScript", 119, 0, 0, 10, 129
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\api\initRequest.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\address\address.component.css", "CSS", 0, 34, 0, 2, 36
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\address\address.component.jsx", "JavaScript", 34, 0, 0, 3, 37
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\homeProductCard\homeProductCard.css", "CSS", 0, 61, 0, 1, 62
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\homeProductCard\homeProductCard.jsx", "JavaScript", 24, 0, 1, 2, 27
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\productCard\productCard.css", "CSS", 0, 8, 0, 0, 8
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\productCard\productCard.jsx", "JavaScript", 15, 0, 0, 6, 21
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\producteurCard\producteurCard.css", "CSS", 0, 25, 0, 1, 26
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\cards\producteurCard\producteurCard.jsx", "JavaScript", 32, 0, 0, 2, 34
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\header\header.css", "CSS", 0, 155, 0, 15, 170
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\header\header.jsx", "JavaScript", 137, 0, 2, 9, 148
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\login\google\googleLogin.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\login\google\googleLogin.jsx", "JavaScript", 15, 0, 0, 3, 18
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\modals\modal.css", "CSS", 0, 38, 0, 6, 44
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\modals\modal.jsx", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\stripe\checkOutForm.css", "CSS", 0, 12, 0, 1, 13
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\stripe\checkoutForm.jsx", "JavaScript", 62, 0, 0, 6, 68
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\stripe\stripeContainer.jsx", "JavaScript", 12, 0, 0, 1, 13
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\stripe\stripeOnBoarding.jsx", "JavaScript", 14, 0, 0, 3, 17
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\defaultButton\defaultButton.css", "CSS", 0, 17, 1, 0, 18
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\defaultButton\defaultButton.jsx", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\inputFloatLabel\inputFloatLabel.css", "CSS", 0, 40, 0, 2, 42
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\inputFloatLabel\inputFloatLabel.jsx", "JavaScript", 24, 0, 0, 3, 27
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\productSwiper\productSwiper.css", "CSS", 0, 31, 0, 3, 34
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\productSwiper\productSwiper.jsx", "JavaScript", 60, 0, 6, 6, 72
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\toggleSwitch\toggleSwitch.css", "CSS", 0, 30, 0, 4, 34
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\toggleSwitch\toggleSwitch.jsx", "JavaScript", 30, 0, 0, 8, 38
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\uploaddropZone\uploadDropZone.css", "CSS", 0, 23, 0, 3, 26
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\components\uiElements\uploaddropZone\uploadDropZone.jsx", "JavaScript", 78, 0, 0, 8, 86
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\constants\urlBackend.js", "JavaScript", 9, 0, 0, 0, 9
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\constants\urlFrontEnd.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\helpers\decodeToken.js", "JavaScript", 48, 0, 3, 4, 55
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\index.css", "CSS", 0, 128, 0, 15, 143
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\main.jsx", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\routes\privates_routes.jsx", "JavaScript", 21, 0, 0, 3, 24
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\routes\routes.jsx", "JavaScript", 89, 0, 0, 4, 93
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\ProducerListScreen\ProducerListScreen.css", "CSS", 0, 16, 0, 2, 18
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\ProducerListScreen\ProducerListScreen.jsx", "JavaScript", 46, 0, 0, 3, 49
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authContext.jsx", "JavaScript", 13, 0, 0, 4, 17
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\loginScreen\loginScreen.css", "CSS", 0, 52, 0, 6, 58
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\loginScreen\loginScreen.jsx", "JavaScript", 56, 0, 0, 8, 64
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\logoutScreen\logoutScreen.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\logoutScreen\logoutScreen.jsx", "JavaScript", 21, 0, 1, 3, 25
"c:\Users\Maxime\OneDrive\Bureau\dev\Projets_perso\authenticae\authenticae-front\src\screens\authScreens\registerScreen\registerScreen.css", "CSS", 0, 53, 0, 7, 60
